asgn_sno,appl_ymd,asgn_ymd,asgn_cancel_ymd,upso_nm,site_addr_dr,site_addr,perm_nt_no,snt_uptae_nm,asgn_cancel_why,main_edf,trdp_area,admdng_nm,grade_facil_gbn
2,20020315,20020412,20111031,다원,"서울특별시 강서구 공항대로65길 1-5, 지하 1층 ~1층 (염창동)",서울특별시 강서구 염창동  272번지 8호  (지하 1층 ~ 1층),3150000-101-1992-03964,경양식,기준미달,정식,174.86,염창동,상수도전용
356,20080802,20080802,20111031,등촌식당,"서울특별시 강서구 화곡로64길 68, 1~2층 (등촌동, 1동)",서울특별시 강서구 등촌동  654번지 95호  (지상 1~2층),3150000-101-1986-02849,한식,기준미달,버섯칼국수,136.11,등촌제1동,상수도전용
337,20080801,20080709,20090810,차이나,"서울특별시 강서구 공항대로 382, 상가동 2층 206호 (화곡동, 6동 우장산롯데낙천대)",서울특별시 강서구 화곡동  1145번지 0호 상가 우장산롯데낙천대 (지상 2층)-206,3150000-101-2004-00610,중국식,행정처분,자장면,88.32,화곡제6동,
60,20090727,20090727,20111031,하오아,"서울특별시 강서구 양천로 731, 309동 1층 104-1호 (염창동, 동아3차아파트)",서울특별시 강서구 염창동  258번지 1호 309 외 1필지 동아3차아파트 (지상 1층)-104-1,3150000-101-2006-00257,한식,기준미달,런치코스,41.25,염창동,상수도전용
125,20020315,20020412,20050420,올바른스시,"서울특별시 강서구 강서로33길 12, 1층 (화곡동)",서울특별시 강서구 화곡동  1050번지 33호  ,3150000-101-2001-09538,한식,영업자지위승계,칼국수,105.6,화곡제3동,상수도전용
312,20080801,20080709,20131202,최고한우돈,"서울특별시 강서구 곰달래로15길 46, 1층 (화곡동, 1동)",서울특별시 강서구 화곡동  421번지 23호  (지상 1층),3150000-101-2007-00138,한식,지정취소,오리고기,134.81,화곡제1동,
353,20020315,20080709,20170616,정일품삼계탕,"서울특별시 강서구 공항대로59가길 10, 2층 201~202호 (등촌동)","서울특별시 강서구 등촌동  648번지 11호  지상 2층, 201~202호",3150000-101-1991-05982,한식,행정처분,삼계탕,153.69,등촌제1동,상수도전용
243,20020315,20020412,20060227,촌장골,"서울특별시 강서구 양천로 59, 2층 (방화동)",서울특별시 강서구 방화동  484번지 3호  (지상 2층),3150000-101-1995-04979,한식,영업자지위승계,생갈비,454.46,방화제1동,상수도전용
78,20020315,20080709,20080709,남가네설악추어탕 한모둠순대국,"서울특별시 강서구 강서로 160, 1층 (화곡동, 본동)",서울특별시 강서구 화곡동  1076번지 17호  (지상 1층),3150000-101-1993-06625,한식,지정취소,추어탕,101.99,화곡본동,상수도전용
231,20020315,20020412,20080709,설첨마라하우스 공항점,"서울특별시 강서구 송정로 41, 1층 (공항동)",서울특별시 강서구 공항동  60번지 109호  (지상 1층),3150000-101-2000-09352,정종/대포집/소주방,지정취소,소갈비,124.8,공항동,
