perm_nt_no,apv_perm_ymd,site_tel,rdn_whl_addr,rdn_post_no,bplc_nm,update_dt,uptae_nm,trdp_jubnse_nm,x,y,longitude,latitude
3150000-101-2022-00341,2022-06-07,,"서울특별시 강서구 강서로18길 30, 1층 (화곡동)",7756,금빛고래,2024-06-09 2:40:00,경양식,,186439.0526,447977.2785,126.8473905,37.53615708
3150000-101-2022-00343,2022-06-07,,"서울특별시 강서구 화곡로 120, 강서2차 크라운팰리스 101동 1층 102호 (화곡동)",7718,모여라 친구야,2022-06-09 0:22:31,호프/통닭,,185373.9978,448645.0818,126.83674,37.54222802
3150000-101-2022-00346,2022-06-08,,"서울특별시 강서구 마곡서로 158, 마곡센트럴타워Ⅱ 1층 101,102호 (마곡동)",7788,중경식객 마곡나루점,2024-08-22 2:40:00,한식,,184507.8915,451772.4997,126.8280789,37.57065909
3150000-101-2022-00348,2022-06-08,,"서울특별시 강서구 등촌로39길 7, 1층 101호 (등촌동)",7668,삼촌김밥,2022-11-17 2:40:00,일식,,187717.691,449253.6062,126.8601769,37.54776006
3150000-101-2022-00351,2022-06-10,,"서울특별시 강서구 강서로 391, 문영비즈웍스 1층 109,110호 (마곡동)",7803,월화식당 마곡점,2022-06-12 0:22:30,한식,,185655.7716,450931.6757,126.8395577,37.56301523
3150000-101-2022-00354,2022-06-10,02 6012 9225,"서울특별시 강서구 마곡중앙6로 42, 사이언스타 2층 211호 (마곡동)",7802,돈맛탱,2022-06-24 2:40:00,한식,,185095.247,450885.0584,126.8339525,37.56259144
3150000-101-2022-00355,2022-06-13,02 2666 1866,"서울특별시 강서구 양천로18길 18, 1층 (방화동)",7604,중화루,2022-07-27 2:40:00,중국식,,183371.2089,452274.0054,126.8167121,37.57521823
3150000-101-2022-00356,2022-06-13,,"서울특별시 강서구 강서로17가길 46, 상가동 2층 205호 (화곡동, 중앙하이츠아파트)",7764,설레이는.. 연이,2023-06-29 2:40:00,한식,,186114.6025,448174.6903,126.844146,37.53795173
3150000-101-2022-00357,2022-06-13,,"서울특별시 강서구 마곡중앙6로 10, 마곡역센트럴푸르지오시티 1동 1층 114호 (마곡동)",7801,만석봉생갈비,2022-07-30 2:40:00,한식,,184749.4755,450917.3369,126.8304948,37.56288488
3150000-101-2022-00358,2022-06-13,,"서울특별시 강서구 화곡로58길 8, 보성빌딩 1층 (화곡동)",7658,인쌩맥주(강서구청점),2023-11-05 2:40:00,호프/통닭,,186783.4813,450080.4482,126.8508348,37.5552768
3150000-101-2022-00359,2022-06-13,,"서울특별시 강서구 마곡중앙로 161-1, 마곡나루역캐슬파크 1층 129호 (마곡동)",7788,한신우동 마곡점,2022-06-16 0:22:30,한식,,184687.8947,451746.9315,126.8298789,37.57042665
3150000-101-2022-00360,2022-06-13,,"서울특별시 강서구 마곡중앙8로 90, 마곡아이파크 1층 127호 (마곡동)",7803,너울,2024-06-19 2:40:00,한식,,185581.018,450935.144,126.8388102,37.56304676
3150000-101-2022-00361,2022-06-14,,"서울특별시 강서구 강서로 263-24, 1층 2호 (내발산동)",7639,서문,2022-07-20 2:40:00,일식,,185335.3805,449703.0609,126.8363538,37.55184601
3150000-101-2022-00362,2022-06-14,,"서울특별시 강서구 화곡로 181, 1층 (화곡동)",7702,먼치오케이 샐러드 클럽 강서점,2022-06-16 0:22:30,경양식,,185920.3919,448904.7672,126.8422039,37.54458879
3150000-101-2022-00363,2022-06-14,,"서울특별시 강서구 마곡중앙6로 85, 마곡사이언스파크뷰 3층 303-1호 (마곡동)",7803,The Glass bar 더글라스바,2023-06-10 2:40:00,경양식,,185517.646,450898.3544,126.8381765,37.56271231
3150000-101-2022-00365,2022-06-14,,"서울특별시 강서구 화곡로58길 29, 2층 (화곡동)",7654,마스터 키친,2025-02-23 2:40:00,한식,,186905.6114,450081.7136,126.8520561,37.55528831
3150000-101-2022-00366,2022-06-14,,"서울특별시 강서구 가로공원로76길 45, 1층 (화곡동)",7765,우사기,2022-06-16 0:22:30,한식,,185600.3888,448104.8742,126.8390039,37.53731704
3150000-101-2022-00368,2022-06-15,,"서울특별시 강서구 등촌로5길 26, 1층 (화곡동)",7741,시장 국수집,2022-06-17 0:22:30,한식,,187740.6733,447903.9021,126.8604067,37.53549002
