asgn_sno,appl_ymd,asgn_ymd,upso_nm,site_addr_dr,site_addr,perm_nt_no,snt_uptae_nm,main_edf,trdp_area,admdng_nm,grade_facil_gbn,site_telno
9,20200831,20201111,이선생 신림점,"서울특별시 관악구 대학6길 22, 지하1층 (신림동)",서울특별시 관악구 신림동  1537번지 5호  ,3200000-101-2003-00290,한식,삼계탕,57.9,대학동,,28747455
16,20190830,20191111,라공방 신림점,"서울특별시 관악구 신림로 340, 르네상스복합쇼핑몰 1층 53~88호 (신림동)",서울특별시 관악구 신림동  1422번지 5호  르네상스복합쇼핑몰,3200000-101-2019-00305,중국식,,124.82,신림동,,
103,20170920,20181109,장수촌,"서울특별시 관악구 남부순환로 2082-37, 2층 (남현동)",서울특별시 관악구 남현동  1060번지 17호  ,3200000-101-1997-09743,기타,,152.6,남현동,상수도전용,25820230
37,20070720,20181109,진우리참치,"서울특별시 관악구 봉천로 472, 1층 101호 (봉천동, CO-OP RESIDENCE)",서울특별시 관악구 봉천동  861번지 7호  CO-OP RESIDENCE,3200000-101-2005-00256,일식,,129.31,중앙동,상수도전용,28892233
2,20190830,20191111,갯바위,"서울특별시 관악구 남부순환로216길 13, 1층 (봉천동)",서울특별시 관악구 봉천동  876번지 19호  ,3200000-101-1997-06066,한식,,40.01,청룡동,상수도전용,
4,20190830,20191111,장수우렁불백,"서울특별시 관악구 관악로 148, (봉천동)",서울특별시 관악구 봉천동  1598번지 20호  ,3200000-101-2001-11128,한식,,72.75,낙성대동,상수도전용,28820263
7,20211031,20211115,안동국밥 곰탕 미성점,"서울특별시 관악구 법원단지3길 3, 1층 (신림동)",서울특별시 관악구 신림동  608번지 44호  ,3200000-101-2016-00457,식육(숯불구이),,84.96,미성동,상수도전용,
9,20190830,20191111,미가면옥,"서울특별시 관악구 관악로 246, 2층 (봉천동)",서울특별시 관악구 봉천동  37번지 86호  ,3200000-101-2019-00073,한식,,72.6,행운동,,
35,20050614,20181109,강강술래 신림본동점,"서울특별시 관악구 남부순환로 1660, (신림동)",서울특별시 관악구 신림동  10번지 518호  ,3200000-101-2000-10799,한식,,1107.44,서원동,상수도전용,28869233
3,20181109,20181109,모힝 비스트로,"서울특별시 관악구 남부순환로226길 36, 2층 (봉천동)",서울특별시 관악구 봉천동  1598번지 6호  지상2층,3200000-101-2012-00405,한식,,61.84,낙성대동,상수도전용,
57,20160920,20181109,구영회 참치앤초밥,"서울특별시 관악구 신원로 34, (신림동,지상2층)",서울특별시 관악구 신림동  1637번지 26호  지상2층,3200000-101-2011-00307,한식,,120,서원동,상수도전용,28888883
26,20080710,20181109,나주곰탕,"서울특별시 관악구 신림로28길 30, 1층 (신림동)",서울특별시 관악구 신림동  110번지 54호  ,3200000-101-1986-07251,한식,,88.24,서림동,상수도전용,28869353
7,20190830,20191111,두둑한샤브칼국수,"서울특별시 관악구 신림로64길 17, 1층 (신림동)",서울특별시 관악구 신림동  1421번지 45호  지상1층,3200000-101-1993-00529,한식,,158.3,신림동,상수도전용,28851838
5,20190830,20191111,신안바다장어,"서울특별시 관악구 봉천로 385, 1층 (봉천동)",서울특별시 관악구 봉천동  925번지 27호  ,3200000-101-2014-00128,회집,,60,은천동,상수도전용,28836543
11,20190830,20191111,춘천 날으는닭갈비,"서울특별시 관악구 조원로 4, (신림동)",서울특별시 관악구 신림동  1655번지 1호  ,3200000-101-2000-10453,한식,,79.4,조원동,상수도전용,28591313
12,20180831,20181109,명태랑족발이랑,"서울특별시 관악구 신원로 6, 1층 (신림동)",서울특별시 관악구 신림동  1635번지 76호  ,3200000-101-2015-00462,한식,,34,신원동,상수도전용,
8,20190830,20191111,삼다돈가(봉천점),"서울특별시 관악구 관악로 246, 3층 (봉천동)",서울특별시 관악구 봉천동  37번지 86호  ,3200000-101-2017-00297,식육(숯불구이),,167.27,행운동,,
1,20200831,20201111,정남옥 서울대입구점,"서울특별시 관악구 관악로 148, 지1층 1호 (봉천동)",서울특별시 관악구 봉천동  1598번지 20호  ,3200000-101-2009-00085,한식,순대국,90,낙성대동,,
6,20190830,20191111,옥된장 신림역점,"서울특별시 관악구 남부순환로 1627, (신림동,1층)",서울특별시 관악구 신림동  1422번지 17호  1층,3200000-101-2000-10720,한식,,49.5,신림동,상수도전용,
3,20200831,20201111,삼백돈돈가츠,"서울특별시 관악구 남부순환로230길 48, 1층 (봉천동)",서울특별시 관악구 봉천동  1610번지 27호  ,3200000-101-2017-00275,경양식,돈가스,60.45,낙성대동,,
62,20160920,20181109,런던부페,"서울특별시 관악구 남부순환로 1454, 지상3~5층 (신림동)",서울특별시 관악구 신림동  1484번지 1호  ,3200000-101-1996-04215,뷔페식,,1924.11,미성동,상수도전용,28555555
7,20200831,20201111,눈꽃초밥,"서울특별시 관악구 법원단지길 38, 1층 (신림동)",서울특별시 관악구 신림동  611번지 7호  ,3200000-101-2020-00186,일식,초밥,42.9,난곡동,상수도전용,
2,20200831,20201111,소문난대구왕뽈찜,"서울특별시 관악구 봉천로62길 5, (봉천동)",서울특별시 관악구 봉천동  1627번지 10호  ,3200000-101-2003-00579,한식,찜류,106.53,낙성대동,,28875186
4,20200831,20201111,예소반,"서울특별시 관악구 문성로 225, 1층 (신림동)",서울특별시 관악구 신림동  1635번지 114호  ,3200000-101-2020-00166,한식,명태조림김치찜,67.91,신원동,상수도전용,28655245
65,20160920,20181109,막불감동,"서울특별시 관악구 남부순환로 1599, 지하1층 (신림동)",서울특별시 관악구 신림동  1433번지 60호  ,3200000-101-2015-00117,한식,,118,신림동,,28822110
41,20050614,20181109,탐나종합어시장(구로디지털역점),"서울특별시 관악구 조원로 7, 1층 (신림동)",서울특별시 관악구 신림동  1644번지 5호  지상1층,3200000-101-2001-00128,회집,,139.93,조원동,상수도전용,28683895
107,20150616,20181109,달인족발,"서울특별시 관악구 난우길 26-1, 1층 (신림동)",서울특별시 관악구 신림동  601번지 9호  ,3200000-101-1997-05965,한식,,79.2,미성동,상수도전용,
21,20010630,20181109,풍년집본가,"서울특별시 관악구 난곡로 232, (신림동)",서울특별시 관악구 신림동  607번지 35호  ,3200000-101-1998-05760,한식,,210.62,미성동,상수도전용,28523636
