asgn_sno,appl_ymd,asgn_ymd,upso_nm,site_addr_dr,site_addr,perm_nt_no,snt_uptae_nm,main_edf,trdp_area,admdng_nm,grade_facil_gbn,site_telno
7,20201125,20201228,푸드엠파이어 이대서울병원 청진동순두부,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 지하1층 (마곡동)",서울특별시 강서구 마곡동  808번지  이화의대부속서울병원 지하1층,3150000-101-2019-00160,한식,순두부찌개,138.73,발산제1동,상수도전용,221352465
5,20201125,20201228,푸드엠파이어 이대서울병원 남산왕돈가스,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 지하1층 (마곡동)",서울특별시 강서구 마곡동  808번지  이화의대부속서울병원 지하1층,3150000-101-2019-00161,경양식,돈가스,138.73,발산제1동,상수도전용,221352465
6,20201125,20201228,푸드엠파이어 이대서울병원 불고기명가,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 지하1층 (마곡동)",서울특별시 강서구 마곡동  808번지  이화의대부속서울병원 지하1층,3150000-101-2019-00159,한식,불고기,143.87,발산제1동,상수도전용,221352465
18,20171124,20171124,생어거스틴 김포공항점,"서울특별시 강서구 하늘길 38, 김포공항, 롯데몰, 스카이파크 지하1층 (방화동)","서울특별시 강서구 방화동  886번지  김포공항, 롯데몰, 스카이파크 지하1층",3150000-101-2017-00227,"외국음식전문점(인도,태국등)",뿌팟봉커리,200,방화제2동,상수도전용,261165832
28,20151118,20151118,맹순이꽃게 아구전문점,"서울특별시 강서구 공항대로 272, 하바나빌딩 2층 (내발산동)",서울특별시 강서구 내발산동  644번지 2호  하바나빌딩,3150000-101-2015-00227,한식,"꽃게찜, 아구찜",331.9,발산제1동,상수도전용,236616570
13,20161103,20161103,강서 명동전가,"서울특별시 강서구 화곡로 398, 4층 (등촌동, 1동 홈플러스강서점)",서울특별시 강서구 등촌동  639번지 11호  홈플러스강서점 (지상 4층),3150000-101-2015-00258,한식,칼국수,126.5,등촌제1동,,236659886
334,20080801,20080709,임진강민물장어,"서울특별시 강서구 양천로 723, 1층 (염창동)",서울특별시 강서구 염창동  252번지 5호  (지상 1층),3150000-101-1985-06223,한식,장어,117.27,염창동,상수도전용,236637900
62,20090727,20090727,메이필드 큐(MAYFIELD KEW),"서울특별시 강서구 방화대로 94, 메이필드호텔 A동 1층 (외발산동)",서울특별시 강서구 외발산동  426번지  메이필드호텔,3150000-101-2002-00446,경양식,파스타,256,발산제1동,상수도전용,226609040
4,20171124,20171124,꼼떼(Commtte),"서울특별시 강서구 마곡중앙로 161-11, 힐스테이트에코마곡나루역라마다앙코르서울 B1층 A-106~107(일부), 108호 (마곡동)",서울특별시 강서구 마곡동  760번지 1호  힐스테이트에코마곡나루역라마다앙코르서울,3150000-101-2017-00180,한식,파스타,307.47,가양제1동,상수도전용,269293990
25,20171124,20171124,주식회사 갓텐코리아 갓텐스시롯데몰김포공항점,"서울특별시 강서구 하늘길 38, 지하 2층 (방화동, 2동 스카이파크 롯데몰)",서울특별시 강서구 방화동  886번지 0호  스카이파크 롯데몰 (지하 2층),3150000-101-2017-00498,일식,초밥,329.2,방화제2동,상수도전용,261165755
3,20171124,20171124,보타닉파크웨딩,"서울특별시 강서구 마곡중앙5로 6, 마곡나루역보타닉푸르지오시티 지하2층 205호 (마곡동)",서울특별시 강서구 마곡동  760번지  마곡나루역보타닉푸르지오시티,3150000-101-2017-00155,뷔페식,뷔페,2855.92,가양제1동,상수도전용,226581900
